source,target,weight,distance,source_name,target_name
3029482,3407277,1,1.0,L. Antiga,Adam Paszke
3050846,3407277,1,1.0,Alban Desmaison,Adam Paszke
1473151134,3407277,1,1.0,Andreas Köpf,Adam Paszke
2052812305,3407277,1,1.0,E. Yang,Adam Paszke
2253681376,3407277,1,1.0,Zachary DeVito,Adam Paszke
10707709,3407277,1,1.0,Martin Raison,Adam Paszke
3407277,41203992,1,1.0,Adam Paszke,Alykhan Tejani
22236100,3407277,1,1.0,Sasank Chilamkurthy,Adam Paszke
32163737,3407277,1,1.0,Benoit Steiner,Adam Paszke
152599430,3407277,1,1.0,Lu Fang,Adam Paszke
2113829116,3407277,1,1.0,Junjie Bai,Adam Paszke
2127604,3407277,1,1.0,Soumith Chintala,Adam Paszke
1403239967,39793298,1,1.0,Francisco Massa,Sam Gross
1977806,39793298,1,1.0,Adam Lerer,Sam Gross
2065251344,39793298,1,1.0,James Bradbury,Sam Gross
114250963,39793298,1,1.0,Gregory Chanan,Sam Gross
2059271276,39793298,1,1.0,Trevor Killeen,Sam Gross
3370429,39793298,1,1.0,Zeming Lin,Sam Gross
3365851,39793298,1,1.0,N. Gimelshein,Sam Gross
3029482,39793298,1,1.0,L. Antiga,Sam Gross
3050846,39793298,1,1.0,Alban Desmaison,Sam Gross
1473151134,39793298,1,1.0,Andreas Köpf,Sam Gross
2052812305,39793298,1,1.0,E. Yang,Sam Gross
2253681376,39793298,1,1.0,Zachary DeVito,Sam Gross
10707709,39793298,1,1.0,Martin Raison,Sam Gross
39793298,41203992,1,1.0,Sam Gross,Alykhan Tejani
22236100,39793298,1,1.0,Sasank Chilamkurthy,Sam Gross
32163737,39793298,1,1.0,Benoit Steiner,Sam Gross
152599430,39793298,1,1.0,Lu Fang,Sam Gross
2113829116,39793298,1,1.0,Junjie Bai,Sam Gross
2127604,39793298,1,1.0,Soumith Chintala,Sam Gross
1403239967,1977806,1,1.0,Francisco Massa,Adam Lerer
1403239967,2065251344,1,1.0,Francisco Massa,James Bradbury
114250963,1403239967,1,1.0,Gregory Chanan,Francisco Massa
1403239967,2059271276,1,1.0,Francisco Massa,Trevor Killeen
1403239967,3370429,1,1.0,Francisco Massa,Zeming Lin
1403239967,3365851,1,1.0,Francisco Massa,N. Gimelshein
1403239967,3029482,1,1.0,Francisco Massa,L. Antiga
1403239967,3050846,1,1.0,Francisco Massa,Alban Desmaison
1403239967,1473151134,1,1.0,Francisco Massa,Andreas Köpf
1403239967,2052812305,1,1.0,Francisco Massa,E. Yang
1403239967,2253681376,1,1.0,Francisco Massa,Zachary DeVito
10707709,1403239967,1,1.0,Martin Raison,Francisco Massa
1403239967,41203992,1,1.0,Francisco Massa,Alykhan Tejani
1403239967,22236100,1,1.0,Francisco Massa,Sasank Chilamkurthy
1403239967,32163737,1,1.0,Francisco Massa,Benoit Steiner
1403239967,152599430,1,1.0,Francisco Massa,Lu Fang
1403239967,2113829116,1,1.0,Francisco Massa,Junjie Bai
1403239967,2127604,1,1.0,Francisco Massa,Soumith Chintala
1977806,2065251344,1,1.0,Adam Lerer,James Bradbury
114250963,1977806,1,1.0,Gregory Chanan,Adam Lerer
1977806,2059271276,1,1.0,Adam Lerer,Trevor Killeen
1977806,3370429,1,1.0,Adam Lerer,Zeming Lin
1977806,3365851,1,1.0,Adam Lerer,N. Gimelshein
1977806,3029482,1,1.0,Adam Lerer,L. Antiga
1977806,3050846,1,1.0,Adam Lerer,Alban Desmaison
1473151134,1977806,1,1.0,Andreas Köpf,Adam Lerer
1977806,2052812305,1,1.0,Adam Lerer,E. Yang
1977806,2253681376,1,1.0,Adam Lerer,Zachary DeVito
10707709,1977806,1,1.0,Martin Raison,Adam Lerer
1977806,41203992,1,1.0,Adam Lerer,Alykhan Tejani
1977806,22236100,1,1.0,Adam Lerer,Sasank Chilamkurthy
1977806,32163737,1,1.0,Adam Lerer,Benoit Steiner
152599430,1977806,1,1.0,Lu Fang,Adam Lerer
1977806,2113829116,1,1.0,Adam Lerer,Junjie Bai
1977806,2127604,1,1.0,Adam Lerer,Soumith Chintala
114250963,2065251344,1,1.0,Gregory Chanan,James Bradbury
2059271276,2065251344,1,1.0,Trevor Killeen,James Bradbury
2065251344,3370429,1,1.0,James Bradbury,Zeming Lin
2065251344,3365851,1,1.0,James Bradbury,N. Gimelshein
2065251344,3029482,1,1.0,James Bradbury,L. Antiga
2065251344,3050846,1,1.0,James Bradbury,Alban Desmaison
1473151134,2065251344,1,1.0,Andreas Köpf,James Bradbury
2052812305,2065251344,1,1.0,E. Yang,James Bradbury
2065251344,2253681376,1,1.0,James Bradbury,Zachary DeVito
10707709,2065251344,1,1.0,Martin Raison,James Bradbury
2065251344,41203992,1,1.0,James Bradbury,Alykhan Tejani
2065251344,22236100,1,1.0,James Bradbury,Sasank Chilamkurthy
2065251344,32163737,1,1.0,James Bradbury,Benoit Steiner
152599430,2065251344,1,1.0,Lu Fang,James Bradbury
2065251344,2113829116,1,1.0,James Bradbury,Junjie Bai
2065251344,2127604,1,1.0,James Bradbury,Soumith Chintala
114250963,2059271276,1,1.0,Gregory Chanan,Trevor Killeen
114250963,3370429,1,1.0,Gregory Chanan,Zeming Lin
114250963,3365851,1,1.0,Gregory Chanan,N. Gimelshein
114250963,3029482,1,1.0,Gregory Chanan,L. Antiga
114250963,3050846,1,1.0,Gregory Chanan,Alban Desmaison
114250963,1473151134,1,1.0,Gregory Chanan,Andreas Köpf
114250963,2052812305,1,1.0,Gregory Chanan,E. Yang
114250963,2253681376,1,1.0,Gregory Chanan,Zachary DeVito
10707709,114250963,1,1.0,Martin Raison,Gregory Chanan
114250963,41203992,1,1.0,Gregory Chanan,Alykhan Tejani
114250963,22236100,1,1.0,Gregory Chanan,Sasank Chilamkurthy
114250963,32163737,1,1.0,Gregory Chanan,Benoit Steiner
114250963,152599430,1,1.0,Gregory Chanan,Lu Fang
114250963,2113829116,1,1.0,Gregory Chanan,Junjie Bai
114250963,2127604,1,1.0,Gregory Chanan,Soumith Chintala
2059271276,3370429,1,1.0,Trevor Killeen,Zeming Lin
2059271276,3365851,1,1.0,Trevor Killeen,N. Gimelshein
2059271276,3029482,1,1.0,Trevor Killeen,L. Antiga
2059271276,3050846,1,1.0,Trevor Killeen,Alban Desmaison
1473151134,2059271276,1,1.0,Andreas Köpf,Trevor Killeen
2052812305,2059271276,1,1.0,E. Yang,Trevor Killeen
2059271276,2253681376,1,1.0,Trevor Killeen,Zachary DeVito
10707709,2059271276,1,1.0,Martin Raison,Trevor Killeen
2059271276,41203992,1,1.0,Trevor Killeen,Alykhan Tejani
2059271276,22236100,1,1.0,Trevor Killeen,Sasank Chilamkurthy
2059271276,32163737,1,1.0,Trevor Killeen,Benoit Steiner
152599430,2059271276,1,1.0,Lu Fang,Trevor Killeen
2059271276,2113829116,1,1.0,Trevor Killeen,Junjie Bai
2059271276,2127604,1,1.0,Trevor Killeen,Soumith Chintala
3365851,3370429,1,1.0,N. Gimelshein,Zeming Lin
3029482,3370429,1,1.0,L. Antiga,Zeming Lin
3050846,3370429,1,1.0,Alban Desmaison,Zeming Lin
1473151134,3370429,1,1.0,Andreas Köpf,Zeming Lin
2052812305,3370429,1,1.0,E. Yang,Zeming Lin
2253681376,3370429,1,1.0,Zachary DeVito,Zeming Lin
10707709,3370429,1,1.0,Martin Raison,Zeming Lin
3370429,41203992,1,1.0,Zeming Lin,Alykhan Tejani
22236100,3370429,1,1.0,Sasank Chilamkurthy,Zeming Lin
32163737,3370429,1,1.0,Benoit Steiner,Zeming Lin
152599430,3370429,1,1.0,Lu Fang,Zeming Lin
2113829116,3370429,1,1.0,Junjie Bai,Zeming Lin
2127604,3370429,1,1.0,Soumith Chintala,Zeming Lin
3029482,3365851,1,1.0,L. Antiga,N. Gimelshein
3050846,3365851,1,1.0,Alban Desmaison,N. Gimelshein
1473151134,3365851,1,1.0,Andreas Köpf,N. Gimelshein
2052812305,3365851,1,1.0,E. Yang,N. Gimelshein
2253681376,3365851,1,1.0,Zachary DeVito,N. Gimelshein
10707709,3365851,1,1.0,Martin Raison,N. Gimelshein
3365851,41203992,1,1.0,N. Gimelshein,Alykhan Tejani
22236100,3365851,1,1.0,Sasank Chilamkurthy,N. Gimelshein
32163737,3365851,1,1.0,Benoit Steiner,N. Gimelshein
152599430,3365851,1,1.0,Lu Fang,N. Gimelshein
2113829116,3365851,1,1.0,Junjie Bai,N. Gimelshein
2127604,3365851,1,1.0,Soumith Chintala,N. Gimelshein
3029482,3050846,1,1.0,L. Antiga,Alban Desmaison
1473151134,3029482,1,1.0,Andreas Köpf,L. Antiga
2052812305,3029482,1,1.0,E. Yang,L. Antiga
2253681376,3029482,1,1.0,Zachary DeVito,L. Antiga
10707709,3029482,1,1.0,Martin Raison,L. Antiga
3029482,41203992,1,1.0,L. Antiga,Alykhan Tejani
22236100,3029482,1,1.0,Sasank Chilamkurthy,L. Antiga
3029482,32163737,1,1.0,L. Antiga,Benoit Steiner
152599430,3029482,1,1.0,Lu Fang,L. Antiga
2113829116,3029482,1,1.0,Junjie Bai,L. Antiga
2127604,3029482,1,1.0,Soumith Chintala,L. Antiga
1473151134,3050846,1,1.0,Andreas Köpf,Alban Desmaison
2052812305,3050846,1,1.0,E. Yang,Alban Desmaison
2253681376,3050846,1,1.0,Zachary DeVito,Alban Desmaison
10707709,3050846,1,1.0,Martin Raison,Alban Desmaison
3050846,41203992,1,1.0,Alban Desmaison,Alykhan Tejani
22236100,3050846,1,1.0,Sasank Chilamkurthy,Alban Desmaison
3050846,32163737,1,1.0,Alban Desmaison,Benoit Steiner
152599430,3050846,1,1.0,Lu Fang,Alban Desmaison
2113829116,3050846,1,1.0,Junjie Bai,Alban Desmaison
2127604,3050846,1,1.0,Soumith Chintala,Alban Desmaison
1473151134,2052812305,1,1.0,Andreas Köpf,E. Yang
1473151134,2253681376,1,1.0,Andreas Köpf,Zachary DeVito
10707709,1473151134,1,1.0,Martin Raison,Andreas Köpf
1473151134,41203992,1,1.0,Andreas Köpf,Alykhan Tejani
1473151134,22236100,1,1.0,Andreas Köpf,Sasank Chilamkurthy
1473151134,32163737,1,1.0,Andreas Köpf,Benoit Steiner
1473151134,152599430,1,1.0,Andreas Köpf,Lu Fang
1473151134,2113829116,1,1.0,Andreas Köpf,Junjie Bai
1473151134,2127604,1,1.0,Andreas Köpf,Soumith Chintala
2052812305,2253681376,1,1.0,E. Yang,Zachary DeVito
10707709,2052812305,1,1.0,Martin Raison,E. Yang
2052812305,41203992,1,1.0,E. Yang,Alykhan Tejani
2052812305,22236100,1,1.0,E. Yang,Sasank Chilamkurthy
2052812305,32163737,1,1.0,E. Yang,Benoit Steiner
152599430,2052812305,1,1.0,Lu Fang,E. Yang
2052812305,2113829116,1,1.0,E. Yang,Junjie Bai
2052812305,2127604,1,1.0,E. Yang,Soumith Chintala
10707709,2253681376,1,1.0,Martin Raison,Zachary DeVito
2253681376,41203992,1,1.0,Zachary DeVito,Alykhan Tejani
22236100,2253681376,1,1.0,Sasank Chilamkurthy,Zachary DeVito
2253681376,32163737,1,1.0,Zachary DeVito,Benoit Steiner
152599430,2253681376,1,1.0,Lu Fang,Zachary DeVito
2113829116,2253681376,1,1.0,Junjie Bai,Zachary DeVito
2127604,2253681376,1,1.0,Soumith Chintala,Zachary DeVito
10707709,41203992,1,1.0,Martin Raison,Alykhan Tejani
10707709,22236100,1,1.0,Martin Raison,Sasank Chilamkurthy
10707709,32163737,1,1.0,Martin Raison,Benoit Steiner
10707709,152599430,1,1.0,Martin Raison,Lu Fang
10707709,2113829116,1,1.0,Martin Raison,Junjie Bai
10707709,2127604,1,1.0,Martin Raison,Soumith Chintala
22236100,41203992,1,1.0,Sasank Chilamkurthy,Alykhan Tejani
32163737,41203992,1,1.0,Benoit Steiner,Alykhan Tejani
152599430,41203992,1,1.0,Lu Fang,Alykhan Tejani
